Absicoccus porci
Fusobacterium periodonticum_B
Fusobacterium periodonticum_D
Fusobacterium polymorphum
Fusobacterium vincentii
Gabonibacter massiliensis
Gastranaerophilus phascolarctosicola
Gemella morbillorum
Gemella sanguinis
Gemmiger formicilis
Gemmiger qucibialis
Gemmiger variabilis
Gemmiger variabilis_A
Gemmiger variabilis_B
Gleimia europaea_A
Gordonibacter massiliensis
Gordonibacter pamelaeae
Gordonibacter urolithinfaciens
Gorillibacterium timonense
Gracilibacillus massiliensis
Gracilibacillus phocaeensis
Granulicatella adiacens
Haemophilus_A parahaemolyticus
Haemophilus_A paraphrohaemolyticus
Haemophilus_A sputorum
Haemophilus_D parainfluenzae
Haemophilus_D parainfluenzae_J
Haemophilus_D parainfluenzae_K
Haemophilus_D parainfluenzae_L
Haemophilus_D parainfluenzae_M
Haemophilus_D parainfluenzae_N
Haemophilus_D pittmaniae
Haemophilus influenzae
Hafnia alvei
Hafnia paralvei
Haloferax massiliensis
Halorubrum lipolyticum
Harryflintia acetispora
Helicobacter_A rappini
Helicobacter_B canis
Helicobacter_B fennelliae
Helicobacter_B macacae
Helicobacter_C cinaedi
Helicobacter_D canadensis
Helicobacter_D pullorum
Helicobacter_D winghamensis
Helicobacter pylori_BU
Helicobacter pylori_C
Holdemanella biformis
Holdemania filiformis
Holdemania massiliensis
Hungatella_A hathewayi_A
Hungatella effluvii
Hydrogeniiclostridium mannosilyticum
Intestinibacter bartlettii
Intestinimonas butyriciproducens
Intestinimonas massiliensis
Jonquetella anthropi
Kallipyga gabonensis
Kallipyga massiliensis
Klebsiella aerogenes
Klebsiella_A grimontii
Klebsiella_A indica
Klebsiella_A michiganensis
Klebsiella_A oxytoca
Klebsiella pneumoniae
Klebsiella quasipneumoniae
Klebsiella quasivariicola
Klebsiella variicola
Kluyvera ascorbata
Kluyvera ascorbata_B
Kocuria rhizophila
Kosakonia cowanii
Kurthia massiliensis
Kurthia senegalensis
Lachnoanaerobaculum orale
Lachnoanaerobaculum umeaense
Lachnoclostridium_A edouardi
Lachnoclostridium_B phocaeensis
Lachnoclostridium phytofermentans_A
Lachnospira eligens_A
Lachnospira rogosae_A
Lacticaseibacillus paracasei
Lacticaseibacillus rhamnosus
Lacticaseibacillus saniviri
Lacticaseibacillus zeae
Lactiplantibacillus pentosus
Lactiplantibacillus plantarum
Lactobacillus acidophilus
Lactobacillus amylolyticus
Lactobacillus amylovorus
Lactobacillus apis
Lactobacillus crispatus
Lactobacillus delbrueckii
Lactobacillus gallinarum
Lactobacillus gasseri
Lactobacillus helveticus
Lactobacillus hominis
Lactobacillus iners
Lactobacillus intestinalis
Lactobacillus johnsonii
Lactobacillus kalixensis
Lactobacillus mulieris
Lactobacillus paragasseri
Lactobacillus porci
Lactobacillus ultunensis
Lactococcus_A piscium_C
Lactococcus_A raffinolactis
Lactococcus garvieae
Lactococcus garvieae_B
Lactococcus hircilactis
Lactococcus lactis
Lactococcus lactis_E
Lactococcus petauri
Lactonifactor longoviformis
Lagierella massiliensis
Lancefieldella parvula
Lancefieldella rimae
Lapidilactobacillus dextrinicus
Laribacter hongkongensis
Latilactobacillus curvatus
Latilactobacillus sakei
Lawsonella clevelandensis
Lawsonibacter asaccharolyticus
Leclercia adecarboxylata_C
Leminorella grimontii
Leminorella richardii
Lentilactobacillus buchneri
Lentilactobacillus hilgardii
Lentilactobacillus kefiri
Lentilactobacillus parabuchneri
Lentilactobacillus parafarraginis
Lentilactobacillus senioris
Leptotrichia wadei
Leptotrichia wadei_A
Leuconostoc citreum
Leuconostoc lactis
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Levilactobacillus brevis
Levilactobacillus namurensis
Levyella massiliensis
Ligilactobacillus agilis
Ligilactobacillus animalis
Ligilactobacillus murinus
Ligilactobacillus ruminis
Ligilactobacillus salivarius
Limosilactobacillus antri
Limosilactobacillus caviae
Limosilactobacillus fermentum
Limosilactobacillus ingluviei
Limosilactobacillus mucosae
Limosilactobacillus oris
Limosilactobacillus reuteri_E
