1XD42-69 sp014287635
CAG-170 sp900555665
CAG-170 sp900751035
CAG-177 sp000431775
CAG-177 sp003514385
CAG-177 sp003538135
CAG-177 sp900770255
CAG-177 sp900771185
CAG-180 sp000432435
CAG-180 sp004556705
CAG-180 sp900540295
CAG-180 sp900545625
CAG-180 sp900766945
CAG-194 sp000432915
CAG-196 sp002102975
CAG-196 sp900549855
CAG-196 sp900553895
CAG-217 sp000436335
CAG-217 sp900547275
CAG-238 sp000435615
CAG-238 sp900542245
CAG-238 sp900551415
CAG-238 sp900754805
CAG-245 sp000434195
CAG-245 sp000435175
CAG-245 sp900552135
CAG-245 sp900758165
CAG-245 sp900761475
CAG-267 sp001917135
CAG-267 sp900551865
CAG-269 sp000431335
CAG-269 sp000435535
CAG-269 sp000437215
CAG-269 sp000438255
CAG-269 sp001916005
CAG-269 sp001916035
CAG-269 sp001916055
CAG-269 sp001916065
CAG-269 sp003525075
CAG-269 sp900551615
CAG-269 sp900552555
CAG-269 sp900553125
CAG-269 sp900553985
CAG-269 sp900554175
CAG-269 sp900554365
CAG-269 sp900554565
CAG-269 sp900555615
CAG-269 sp900556345
CAG-269 sp900556695
CAG-269 sp900556865
CAG-269 sp900556945
CAG-269 sp900753165
CAG-269 sp900754285
CAG-269 sp900760175
CAG-269 sp900762425
CAG-272 sp000433515
CAG-272 sp900556615
CAG-273 sp000435755
CAG-273 sp000437855
CAG-273 sp000438355
CAG-273 sp003507395
CAG-273 sp003534295
CAG-273 sp900752095
CAG-273 sp900752335
CAG-273 sp902406115
CAG-274 sp000432155
CAG-274 sp900545305
CAG-279 sp000437795
CAG-279 sp900541555
CAG-279 sp900541935
CAG-279 sp900544305
CAG-279 sp900548875
CAG-279 sp900550025
CAG-279 sp900556245
CAG-288 sp000437395
CAG-302 sp000431795
CAG-302 sp001916775
CAG-302 sp900543825
CAG-302 sp900548425
CAG-302 sp900549325
CAG-302 sp900554615
CAG-303 sp000437755
CAG-303 sp900539455
CAG-306 sp000980375
CAG-307 sp001916215
CAG-307 sp900547045
CAG-312 sp000438015
CAG-312 sp001917305
