Streptococcus timonensis
Streptococcus vestibularis
Streptomyces albus
Succinatimonas hippei
Sutterella faecalis
Sutterella parvirubra
Sutterella seckii
Sutterella wadsworthensis
Terrisporobacter glycolicus
Terrisporobacter othiniensis
Thalassobacillus devorans
Tidjanibacter inops
Timonella senegalensis
Treponema berlinense
Treponema succinifaciens
Turicibacter sanguinis
Turicimonas muris
Ureaplasma parvum
Ureibacillus endophyticus
Vagococcus teuberi
Varibaculum cambriense
Varibaculum massiliense
Varibaculum timonense
Veillonella atypica
Veillonella dispar
Veillonella magna
Veillonella parvula
Veillonella rogosae
Veillonella seminalis
Veillonella tobetsuensis
Vibrio cholerae
Vibrio fluvialis
Vibrio furnissii
Vibrio metoecus
Vibrio parahaemolyticus
Vibrio vulnificus
Victivallis vadensis
Virgibacillus kapii
Virgibacillus picturae
Vitreoscilla massiliensis
Weissella cibaria
Weissella confusa
Weissella paramesenteroides
Weissella viridescens
Weizmannia coagulans
Winkia neuii
Xanthomonas massiliensis
Yersinia aleksiciae
Yersinia bercovieri
Yersinia enterocolitica
Yersinia frederiksenii
Yersinia intermedia
Yersinia kristensenii
Yersinia massiliensis
Yersinia mollaretii
Yersinia pestis
Yokenella regensburgei
